"Survey_code","taxonomy","Date.x","Surveyor","Time.Start","Minute","Size","Number","Stage","family","genus","species","Coarse_Trophic","Fine_Trophic","Herb_Type","mass","area","Biomass","Density","allCode","Lagoon","Habitat"
"DC_July_04_02","Acanthurus nigrofuscus","7/4/2018","DC","12:47",5,16,2,"","Acanthuridae","Acanthurus","nigrofuscus","Primary Consumer","Herbivore/Detritivore","Grazer",230.1858648,49.21623642,4.677031028,0.040636996,"DC_July_04_02_5","MRB","Back"
"DC_July_04_02","Acanthurus nigrofuscus","7/4/2018","DC","12:47",0,15,3,"","Acanthuridae","Acanthurus","nigrofuscus","Primary Consumer","Herbivore/Detritivore","Grazer",283.9873107,40.35651057,7.036963967,0.074337448,"DC_July_04_02_0","MRB","Back"
"DC_July_04_02","Acanthurus nigrofuscus","7/4/2018","DC","12:47",2,14,1,"","Acanthuridae","Acanthurus","nigrofuscus","Primary Consumer","Herbivore/Detritivore","Grazer",76.81553153,58.46477943,1.313877043,0.017104315,"DC_July_04_02_2","MRB","Back"
"DC_July_04_02","Acanthurus nigrofuscus","7/4/2018","DC","12:47",3,16,4,"","Acanthuridae","Acanthurus","nigrofuscus","Primary Consumer","Herbivore/Detritivore","Grazer",460.3717297,55.97815202,8.224132328,0.07145645,"DC_July_04_02_3","MRB","Back"
"DC_July_04_02","Acanthurus nigrofuscus","7/4/2018","DC","12:47",13,14,5,"","Acanthuridae","Acanthurus","nigrofuscus","Primary Consumer","Herbivore/Detritivore","Grazer",384.0776576,56.69107576,6.774922728,0.088197303,"DC_July_04_02_13","MRB","Back"
"DC_July_04_02","Acanthurus triostegus","7/4/2018","DC","12:47",10,16,8,"","Acanthuridae","Acanthurus","triostegus","Primary Consumer","Herbivore/Detritivore","Grazer",825.5748129,60.41805388,13.66437281,0.132410753,"DC_July_04_02_10","MRB","Back"
"DC_July_04_02","Acanthurus triostegus","7/4/2018","DC","12:47",5,15,1,"","Acanthuridae","Acanthurus","triostegus","Primary Consumer","Herbivore/Detritivore","Grazer",87.42439351,49.21623642,1.776332362,0.020318498,"DC_July_04_02_5","MRB","Back"
"DC_July_04_02","Carcharhinus melanopterus","7/4/2018","DC","12:47",9,130,1,"","Carcharhinidae ","Carcharhinus","melanopterus","Piscivore_primarily","Piscivore","na",26044.33542,38.5617783,675.3924889,0.025932414,"DC_July_04_02_9","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",4,16,2,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",180.415342,46.05906962,3.91704269,0.043422501,"DC_July_04_02_4","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",3,16,2,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",180.415342,55.97815202,3.222959949,0.035728225,"DC_July_04_02_3","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",8,19,2,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",300.511211,36.61142765,8.208125996,0.054627752,"DC_July_04_02_8","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",0,17,2,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",215.9951925,40.35651057,5.352177119,0.049558299,"DC_July_04_02_0","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",11,19,1,"TP","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",150.2556055,67.98743085,2.210049764,0.014708601,"DC_July_04_02_11","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",6,23,1,"TP","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",264.9605318,51.76572662,5.118454799,0.019317801,"DC_July_04_02_6","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",7,12,1,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",38.3972712,67.28216769,0.570690162,0.014862779,"DC_July_04_02_7","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",8,16,1,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",90.20767099,36.61142765,2.463921152,0.027313876,"DC_July_04_02_8","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",14,16,1,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",90.20767099,55.68922324,1.619840711,0.017956796,"DC_July_04_02_14","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",1,12,3,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",115.1918136,36.85227194,3.125772376,0.081406107,"DC_July_04_02_1","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",1,18,1,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",127.9721037,36.85227194,3.472570265,0.027135369,"DC_July_04_02_1","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",3,19,2,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",300.511211,55.97815202,5.368366053,0.035728225,"DC_July_04_02_3","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",5,16,2,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",180.415342,49.21623642,3.665768761,0.040636996,"DC_July_04_02_5","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",14,18,1,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",127.9721037,55.68922324,2.297968912,0.017956796,"DC_July_04_02_14","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",14,19,2,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",300.511211,55.68922324,5.396218398,0.035913591,"DC_July_04_02_14","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",7,14,3,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",182.0483028,67.28216769,2.705743721,0.044588337,"DC_July_04_02_7","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",12,17,2,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",215.9951925,62.47132878,3.457509176,0.032014686,"DC_July_04_02_12","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",13,18,2,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",255.9442075,56.69107576,4.514717776,0.035278921,"DC_July_04_02_13","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",12,15,3,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",223.4330658,62.47132878,3.576569766,0.04802203,"DC_July_04_02_12","MRB","Back"
"DC_July_04_02","Chlorurus sordidus","7/4/2018","DC","12:47",6,18,1,"","Scaridae","Chlorurus","sordidus","Primary Consumer","Herbivore/Detritivore","Excavator",127.9721037,51.76572662,2.47213962,0.019317801,"DC_July_04_02_6","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",7,22,4,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",1190.223439,67.28216769,17.69002814,0.059451117,"DC_July_04_02_7","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",2,20,6,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",1333.318678,58.46477943,22.80550258,0.10262589,"DC_July_04_02_2","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",0,22,3,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",892.6675796,40.35651057,22.11954321,0.074337448,"DC_July_04_02_0","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",1,20,4,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",888.8791188,36.85227194,24.12006295,0.108541476,"DC_July_04_02_1","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",3,20,4,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",888.8791188,55.97815202,15.8790365,0.07145645,"DC_July_04_02_3","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",5,17,4,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",540.3222771,49.21623642,10.97853709,0.081273992,"DC_July_04_02_5","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",10,20,3,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",666.6593391,60.41805388,11.03410812,0.049654032,"DC_July_04_02_10","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",13,19,6,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",1139.465987,56.69107576,20.09956544,0.105836764,"DC_July_04_02_13","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",2,19,4,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",759.6439915,58.46477943,12.99319007,0.06841726,"DC_July_04_02_2","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",13,20,6,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",1333.318678,56.69107576,23.51902236,0.105836764,"DC_July_04_02_13","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",11,19,4,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",759.6439915,67.98743085,11.17330045,0.058834404,"DC_July_04_02_11","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",8,20,4,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",888.8791188,36.61142765,24.27873416,0.109255505,"DC_July_04_02_8","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",14,18,4,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",643.7059307,55.68922324,11.55889584,0.071827182,"DC_July_04_02_14","MRB","Back"
"DC_July_04_02","Ctenochaetus striatus","7/4/2018","DC","12:47",1,20,5,"","Acanthuridae","Ctenochaetus","striatus","Primary Consumer","Herbivore/Detritivore","Detritivore",1111.098899,36.85227194,30.15007868,0.135676845,"DC_July_04_02_1","MRB","Back"
"DC_July_04_02","Mulloidichthys flavolineatus","7/4/2018","DC","12:47",12,20,1,"","Mullidae","Mulloidicthys","flavolineatus","Secondary Consumer","Benthic Invertebrate Consumer","na",129.9197758,62.47132878,2.07967044,0.016007343,"DC_July_04_02_12","MRB","Back"
"DC_July_04_02","Mulloidichthys flavolineatus","7/4/2018","DC","12:47",13,21,1,"","Mullidae","Mulloidicthys","flavolineatus","Secondary Consumer","Benthic Invertebrate Consumer","na",151.1413437,56.69107576,2.666051785,0.017639461,"DC_July_04_02_13","MRB","Back"
"DC_July_04_02","Mulloidichthys flavolineatus","7/4/2018","DC","12:47",7,20,1,"","Mullidae","Mulloidicthys","flavolineatus","Secondary Consumer","Benthic Invertebrate Consumer","na",129.9197758,67.28216769,1.930968937,0.014862779,"DC_July_04_02_7","MRB","Back"
"DC_July_04_02","Naso lituratus","7/4/2018","DC","12:47",12,18,1,"","Acanthuridae","Naso","lituratus","Primary Consumer","Herbivore/Detritivore","Browser",108.1130578,62.47132878,1.730602821,0.016007343,"DC_July_04_02_12","MRB","Back"
"DC_July_04_02","Naso lituratus","7/4/2018","DC","12:47",12,18,1,"","Acanthuridae","Naso","lituratus","Primary Consumer","Herbivore/Detritivore","Browser",108.1130578,62.47132878,1.730602821,0.016007343,"DC_July_04_02_12","MRB","Back"
"DC_July_04_02","Naso lituratus","7/4/2018","DC","12:47",9,19,1,"","Acanthuridae","Naso","lituratus","Primary Consumer","Herbivore/Detritivore","Browser",128.8818355,38.5617783,3.342217117,0.025932414,"DC_July_04_02_9","MRB","Back"
"DC_July_04_02","Parupeneus multifasciatus","7/4/2018","DC","12:47",4,22,1,"","Mullidae","Parupeneus","mutlifasciatus","Secondary Consumer","Benthic Invertebrate Consumer","na",224.8598483,46.05906962,4.881988502,0.021711251,"DC_July_04_02_4","MRB","Back"
"DC_July_04_02","Parupeneus multifasciatus","7/4/2018","DC","12:47",0,22,2,"","Mullidae","Parupeneus","mutlifasciatus","Secondary Consumer","Benthic Invertebrate Consumer","na",449.7196965,40.35651057,11.1436715,0.049558299,"DC_July_04_02_0","MRB","Back"
"DC_July_04_02","Parupeneus multifasciatus","7/4/2018","DC","12:47",1,20,1,"","Mullidae","Parupeneus","mutlifasciatus","Secondary Consumer","Benthic Invertebrate Consumer","na",165.5769968,36.85227194,4.492992918,0.027135369,"DC_July_04_02_1","MRB","Back"
"DC_July_04_02","Parupeneus multifasciatus","7/4/2018","DC","12:47",5,20,1,"","Mullidae","Parupeneus","mutlifasciatus","Secondary Consumer","Benthic Invertebrate Consumer","na",165.5769968,49.21623642,3.364275875,0.020318498,"DC_July_04_02_5","MRB","Back"
"DC_July_04_02","Parupeneus multifasciatus","7/4/2018","DC","12:47",9,17,1,"","Mullidae","Parupeneus","mutlifasciatus","Secondary Consumer","Benthic Invertebrate Consumer","na",98.25715196,38.5617783,2.548045145,0.025932414,"DC_July_04_02_9","MRB","Back"
"DC_July_04_02","Scarus globiceps","7/4/2018","DC","12:47",8,20,1,"TP","Scaridae","Scarus","globiceps","Primary Consumer","Herbivore/Detritivore","Scraper",161.2770248,36.61142765,4.405100681,0.027313876,"DC_July_04_02_8","MRB","Back"
"DC_July_04_02","Scarus oviceps","7/4/2018","DC","12:47",10,21,1,"","Scaridae","Scarus","oviceps","Primary Consumer","Herbivore/Detritivore","Scraper",186.297948,60.41805388,3.083481443,0.016551344,"DC_July_04_02_10","MRB","Back"
"DC_July_04_02","Scarus oviceps","7/4/2018","DC","12:47",6,23,1,"","Scaridae","Scarus","oviceps","Primary Consumer","Herbivore/Detritivore","Scraper",243.7784544,51.76572662,4.709263645,0.019317801,"DC_July_04_02_6","MRB","Back"
"DC_July_04_02","Scarus oviceps","7/4/2018","DC","12:47",9,19,1,"","Scaridae","Scarus","oviceps","Primary Consumer","Herbivore/Detritivore","Scraper",138.5873149,38.5617783,3.593903627,0.025932414,"DC_July_04_02_9","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",7,16,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",109.1105909,67.28216769,1.621686616,0.014862779,"DC_July_04_02_7","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",13,16,3,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",327.3317726,56.69107576,5.773955922,0.052918382,"DC_July_04_02_13","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",0,20,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",228.8290938,40.35651057,5.670190276,0.024779149,"DC_July_04_02_0","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",5,18,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",161.302883,49.21623642,3.277432301,0.020318498,"DC_July_04_02_5","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",10,19,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",193.0082561,60.41805388,3.194546062,0.016551344,"DC_July_04_02_10","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",3,16,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",109.1105909,55.97815202,1.94916386,0.017864112,"DC_July_04_02_3","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",8,16,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",109.1105909,36.61142765,2.980233164,0.027313876,"DC_July_04_02_8","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",10,19,3,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",579.0247683,60.41805388,9.583638186,0.049654032,"DC_July_04_02_10","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",4,18,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",161.302883,46.05906962,3.502087304,0.021711251,"DC_July_04_02_4","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",11,14,6,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",420.2840281,67.98743085,6.181790117,0.088251607,"DC_July_04_02_11","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",12,16,7,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",763.774136,62.47132878,12.22599472,0.112051402,"DC_July_04_02_12","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",0,17,2,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",266.8594895,40.35651057,6.612551128,0.049558299,"DC_July_04_02_0","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",6,16,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",109.1105909,51.76572662,2.10777667,0.019317801,"DC_July_04_02_6","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",11,17,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",133.4297447,67.98743085,1.96256489,0.014708601,"DC_July_04_02_11","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",14,22,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",313.973911,55.68922324,5.637965351,0.017956796,"DC_July_04_02_14","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",2,10,3,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",68.78819914,58.46477943,1.176575022,0.051312945,"DC_July_04_02_2","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",14,20,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",228.8290938,55.68922324,4.10903727,0.017956796,"DC_July_04_02_14","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",4,14,5,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",350.2366901,46.05906962,7.604076525,0.108556253,"DC_July_04_02_4","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",6,10,5,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",114.6469986,51.76572662,2.214727892,0.096589004,"DC_July_04_02_6","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",7,18,3,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",483.9086489,67.28216769,7.192227384,0.044588337,"DC_July_04_02_7","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",2,18,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",161.302883,58.46477943,2.75897531,0.017104315,"DC_July_04_02_2","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",11,17,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",133.4297447,67.98743085,1.96256489,0.014708601,"DC_July_04_02_11","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",8,19,1,"TP","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",193.0082561,36.61142765,5.271803601,0.027313876,"DC_July_04_02_8","MRB","Back"
"DC_July_04_02","Scarus psittacus","7/4/2018","DC","12:47",9,18,1,"","Scaridae","Scarus","psittacus","Primary Consumer","Herbivore/Detritivore","Scraper",161.302883,38.5617783,4.182973143,0.025932414,"DC_July_04_02_9","MRB","Back"
"DC_July_04_02","Siganus spinus","7/4/2018","DC","12:47",4,17,2,"","Siganidae","Siganus","spinus","Primary Consumer","Herbivore/Detritivore","Browser",191.8225979,46.05906962,4.164708483,0.043422501,"DC_July_04_02_4","MRB","Back"
