taxonomy,family,genus,species,length_code,cite_bm_conversion,taxon_resolution,a,b,totlen2forklen,cite_length_conversion,note_length_conversion,Coarse_Trophic,Fine_Trophic,Herb_Type
Acanthurus guttatus,Acanthuridae,Acanthurus,guttatus,FL,Kulbicki,Genus,0.028,2.983,0.98,Fishbase,,Primary Consumer,Herbivore/Detritivore,Grazer
Acanthurus lineatus,Acanthuridae,Acanthurus,lineatus,FL,Kulbicki,Genus,0.028,2.983,0.812,Fishbase,,Primary Consumer,Herbivore/Detritivore,Grazer
Acanthurus nigricans,Acanthuridae,Acanthurus,nigricans,FL,Kulbicki,Genus,0.028,2.983,0.984,Fishbase,,Primary Consumer,Herbivore/Detritivore,Grazer
Acanthurus nigricauda,Acanthuridae,Acanthurus,nigricauda,FL,Kulbicki,Species,0.017,3.168,0.818,Fishbase,,Primary Consumer,Herbivore/Detritivore,Grazer
Acanthurus nigrofuscus,Acanthuridae,Acanthurus,nigrofuscus,FL,Kulbicki,Species,0.026,3.028,0.883,Fishbase,,Primary Consumer,Herbivore/Detritivore,Grazer
Acanthurus nigros,Acanthuridae,Acanthurus,nigros,FL,Kulbicki,Genus,0.028,2.983,0.912,Fishbase,,Primary Consumer,Herbivore/Detritivore,Grazer
Acanthurus olivaceus,Acanthuridae,Acanthurus,olivaceus,FL,Kulbicki,Genus,0.028,2.983,0.893,Fishbase,,Primary Consumer,Herbivore/Detritivore,Grazer
Acanthurus pyroferus,Acanthuridae,Acanthurus,pyroferus,FL,Kulbicki,Genus,0.028,2.983,0.929,Fishbase,,Primary Consumer,Herbivore/Detritivore,Grazer
Acanthurus thompsoni,Acanthuridae,Acanthurus,thompsoni,FL,Kulbicki,Genus,0.028,2.983,0.88,Fishbase,,Planktivore,Planktivore_exclusively,na
Acanthurus triostegus,Acanthuridae,Acanthurus,triostegus,FL,Kulbicki,Species,0.083,2.57,0.975,Fishbase,,Primary Consumer,Herbivore/Detritivore,Grazer
Aetobatus narinari,Myliobatidae,Aetobatus,narinari,WD,CRED,Species,0.0059,3.13,1,CRED,,Secondary Consumer,Benthic Invertebrate Consumer,na
Arothron hispidus,Tetraodontidae,Arothron,hispidus,FL,Kulbicki,Species,0.063,2.756,1,Fishbase,,Secondary Consumer,Omnivore,na
Arothron meleagris,Tetraodontidae,Arothron,meleagris,FL,Kulbicki,Genus,0.035,2.901,1,Fishbase,,Secondary Consumer,Corallivore,na
Balistoides viridescens,Balistidae,Balistoides,viridescens,FL,Kulbicki,Species,0.024,3.018,1,Fishbase,,Secondary Consumer,Benthic Invertebrate Consumer,na
Calotomus carolinus,Scaridae,Calotomus,carolinus,NS,FishBase,Species,0.012,3.167,na,na,na,Primary Consumer,Herbivore/Detritivore,Browser
Caranx melampygus,Carangidae,Caranx,melampygus,FL,Kulbicki,Species,0.023,2.918,0.937,Fishbase,,Piscivore_primarily,Piscivore,na
Carcharhinus melanopterus,Carcharhinidae ,Carcharhinus,melanopterus,FL,Kulbicki,Genus,0.001,3.508,0.837,Fishbase,,Piscivore_primarily,Piscivore,na
Cephalopholis argus,Serranidae,Cephalopholis,argus,FL,Kulbicki,Species,0.009,3.181,1,Fishbase,,Piscivore_primarily,Piscivore,na
Cheilinus undulatus,Labridae,Cheilinus,undulatus,FL,Kulbicki,Species,0.011,3.136,1,Fishbase,,Secondary Consumer,Benthic Invertebrate Consumer,na
